name,code,ean,description,photos,category_path,category_name,price_net,tax,price_gross,currency,is_available,stock,availability_date,base_unit_of_measure,items_in_package_count,has_carton_packaging,base_units_in_carton_count,hs_code,country_of_origin,width_cm,height_cm,depth_cm,weight_kg,remarks
"Linking Balloon 12'', Pastel white (1 pkt / 100 pc.)",12LP-002,7501060416198,"Linking Balloon, size 12 inches, Pastel white.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/e8015f1d2343fe8e65cf8cb48925e0a1/images/12LP-002_01_S.jpg,"Products > Latex Balloons > Shapes balloons","Shapes balloons",21.67,23,26.65,PLN,1,57,,PK,100,0,0,95030099,MEX,22,3.6,34.6,0.33595,
"Round Balloon 1m, Pastel Clear",OLBO-038,5902230747067,"Balloon, diameter 1 meter, Mexican round, Pastel Clear.",https://shop.partydeco.pl/media/products/a34947d6b6dbcfee8ebae6b47ad2b598/images/OLBO-038_01_S.jpg;https://shop.partydeco.pl/media/products/a34947d6b6dbcfee8ebae6b47ad2b598/images/OLBO-038_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Black",OLBO-025,5902230747043,"Balloon, diameter 1 meter, Mexican round, Pastel Black.",https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_01_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_02_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_03_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_04_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_05_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_06_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Burgundy",OLBO-024,5902230747036,"Balloon, diameter 1 meter, Mexican round, Pastel Burgundy.",https://shop.partydeco.pl/media/products/b3341fc9236748026f6f95bfcbd36ed8/images/OLBO-024_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Navy Blue",OLBO-022,5902230747012,"Balloon, diameter 1 meter, Mexican round, Pastel Navy Blue.",https://shop.partydeco.pl/media/products/011a19ed9e8cc3065f68523772ed1d87/images/OLBO-022_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Cream",OLBO-016,5902230747005,"Balloon, diameter 1 meter, Mexican round, Pastel Cream.",https://shop.partydeco.pl/media/products/043f3703048d8faf27e209e1c5bfa6bc/images/OLBO-016_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Green",OLBO-014,5902230746992,"Balloon, diameter 1 meter, Mexican round, Pastel Green.",https://shop.partydeco.pl/media/products/22683f4045cc6f3e02fc0b7b43280d2b/images/OLBO-014_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Blue",OLBO-012,5902230746985,"Balloon, diameter 1 meter, Mexican round, Pastel Blue.",https://shop.partydeco.pl/media/products/16973bdd3c516303d0b85780708e74eb/images/OLBO-012_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Dark Green",OLBO-011,5902230746978,"Balloon, diameter 1 meter, Mexican round, Pastel Dark Green.",https://shop.partydeco.pl/media/products/555a99ceeb678cb61e507fe18bc81c68/images/OLBO-011_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0552,
"Round Balloon 1m, Pastel Lavender",OLBO-009,5902230746961,"Balloon, diameter 1 meter, Mexican round, Pastel Lavender.",https://shop.partydeco.pl/media/products/b77bd7de82d0b7a80a70326656111211/images/OLBO-009_01_S.jpg;https://shop.partydeco.pl/media/products/b77bd7de82d0b7a80a70326656111211/images/OLBO-009_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
